0.000000E+00	0.000000E+00
1.354305E-04	5.033752E+04
2.800086E-04	1.004645E+05
4.266522E-04	1.506571E+05
5.733059E-04	2.007189E+05
6.888412E-04	2.509131E+05
8.815163E-04	3.013926E+05
9.981681E-04	3.518427E+05
1.115277E-03	4.021265E+05
1.192708E-03	4.526130E+05
1.482590E-03	5.027828E+05
1.630783E-03	5.531269E+05
1.663068E-03	6.034252E+05
1.838794E-03	6.534488E+05
1.934519E-03	7.035398E+05
2.224422E-03	7.537919E+05
2.126771E-03	8.039814E+05
2.317051E-03	8.543253E+05
2.583780E-03	9.044399E+05
2.647900E-03	9.549071E+05
2.751889E-03	1.005067E+06
2.791082E-03	1.055460E+06
2.907034E-03	1.105481E+06
3.275141E-03	1.155482E+06
3.297464E-03	1.205705E+06
3.299507E-03	1.256154E+06
3.759536E-03	1.306234E+06
3.961607E-03	1.356343E+06
3.740064E-03	1.406383E+06
4.110135E-03	1.456624E+06
4.142824E-03	1.506815E+06
4.501600E-03	1.557271E+06
4.396778E-03	1.607395E+06
4.585109E-03	1.657742E+06
4.650297E-03	1.676000E+06
